"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: impl","Param: itemCount"
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",1,15,"97885585,284358","1769852,342677","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",1,15,"72775168,140608","1923070,208347","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.getAvg","avgt",1,15,"1,873827","0,040603","ns/op",SIMPLE,10000
"org.example.performance.HashMapBenchmark.getAvg","avgt",1,15,"2,231838","0,046044","ns/op",SIMPLE,100000
"org.example.performance.HashMapBenchmark.getAvg","avgt",1,15,"2,502679","0,056858","ns/op",SIMPLE,1000000
"org.example.performance.HashMapBenchmark.getAvg","avgt",1,15,"4,931436","0,415671","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.getAvg","avgt",1,15,"5,524148","0,086456","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.getAvg","avgt",1,15,"5,727037","0,266033","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.getAvg","avgt",1,15,"2,475530","0,072264","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.getAvg","avgt",1,15,"2,879766","0,089526","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.getAvg","avgt",1,15,"3,512658","0,128694","ns/op",JDK,1000000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",1,15,"0,026543","0,000397","ms/op",SIMPLE,10000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",1,15,"0,331885","0,004476","ms/op",SIMPLE,100000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",1,15,"3,074536","0,058493","ms/op",SIMPLE,1000000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",1,15,"0,031464","0,007003","ms/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",1,15,"0,350731","0,001200","ms/op",CONCURRENT,100000
