"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: impl","Param: itemCount"
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"694324698,730059","26066127,645940","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"575580022,963962","6160248,991588","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"539162421,553441","16912993,546104","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"1201985492,397271","20451494,452339","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"996061973,601863","5353508,913672","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"916919856,354972","19807365,182488","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"90355,721925","1757,523729","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"7685,939766","21,853875","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"781,030703","5,974754","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"64802,659032","421,811983","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"4644,926643","16,036289","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"503,007619","5,559726","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"11426669,502087","355704,438332","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"10556529,922720","396137,394393","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"12118082,619286","1067124,788404","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"184063184,711530","2281335,279300","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"194193738,000831","1700482,356602","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"192206240,781925","1372903,591533","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"46302768,485766","821265,924350","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"42114313,729548","1961698,416252","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"41752583,225849","1317646,138208","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"396407094,938296","41363912,415720","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"406241598,782352","31521423,690413","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"400952112,644740","22969257,575235","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"10290003,138412","1345170,374331","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"11535531,097731","130333,438601","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"11007868,005107","552775,151054","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"186800534,793436","14658486,818986","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"159150622,325230","1147709,298893","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"154826121,078745","1632903,615743","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"6,344359","0,223368","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"7,338198","0,100701","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"7,628792","0,090718","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"3,564373","0,029480","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"4,246582","0,086683","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"4,318283","0,043167","ns/op",JDK,1000000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"0,050361","0,000520","ms/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"0,577088","0,003867","ms/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"5,800085","0,047432","ms/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"0,065801","0,000212","ms/op",JDK,10000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"0,907684","0,005832","ms/op",JDK,100000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"8,447929","0,054830","ms/op",JDK,1000000
