"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: impl","Param: itemCount"
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"815878998,424221","25852022,778057","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"730827542,293600","17840712,504870","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"663012018,292207","5823842,926286","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"1429403417,246815","44748707,525193","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"1218530309,114728","34390204,554372","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"1131715394,662231","17229999,195067","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"107473,455977","969,388794","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"8837,836438","101,708747","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"817,809568","9,594751","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"83505,796949","342,486790","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"6123,982989","24,152838","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"594,666940","4,767426","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"2676688,843185","134601,167450","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"2703866,672450","207274,672489","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"2615941,121971","89613,709169","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"57675630,191373","645593,217288","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"55758872,386882","820574,082613","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"59372004,361144","1562900,562332","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"10724229,711280","175806,921702","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"11362605,980127","269082,532928","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"12060719,442555","355265,963746","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"204061120,481106","4443555,182156","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"195258258,490828","2068199,263916","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"186377328,095132","1141520,418240","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"2678590,583201","23120,880380","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"2662964,239126","166417,388999","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"2475237,602192","100754,047280","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"64899224,534882","995501,536749","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"66621170,893070","2646477,326070","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"64539505,656588","511440,848270","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.getAvg","avgt",8,15,"9,305680","0,235956","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.getAvg","avgt",8,15,"10,338969","0,421526","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.getAvg","avgt",8,15,"11,498371","0,059529","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.getAvg","avgt",8,15,"5,608477","0,059496","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.getAvg","avgt",8,15,"6,367214","0,287339","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.getAvg","avgt",8,15,"6,916013","0,113621","ns/op",JDK,1000000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",8,15,"0,074142","0,000670","ms/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",8,15,"0,874445","0,008623","ms/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",8,15,"9,601269","0,091848","ms/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",8,15,"0,095683","0,000207","ms/op",JDK,10000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",8,15,"1,327496","0,034628","ms/op",JDK,100000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",8,15,"13,290860","0,063735","ms/op",JDK,1000000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",8,15,"3082,016519","149,083654","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",8,15,"2998,170500","185,889444","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",8,15,"3306,977332","132,582165","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",8,15,"139,018977","1,852230","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",8,15,"138,126218","2,292452","ns/op",JDK,100000
