"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: impl","Param: itemCount"
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",8,15,"135,846420","2,296321","ns/op",JDK,1000000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",8,15,"710,311885","14,136158","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",8,15,"709,698853","24,825359","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",8,15,"730,639488","13,144223","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",8,15,"39,123556","0,703019","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",8,15,"40,410478","0,460797","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",8,15,"42,887450","0,381759","ns/op",JDK,1000000
"org.example.performance.HashMapBenchmark.putAvg","avgt",8,15,"2937,680598","155,211053","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.putAvg","avgt",8,15,"2959,226114","85,094686","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.putAvg","avgt",8,15,"3190,543796","168,547168","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.putAvg","avgt",8,15,"118,920170","3,892272","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.putAvg","avgt",8,15,"124,479978","5,078552","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.putAvg","avgt",8,15,"125,374909","0,727819","ns/op",JDK,1000000
