"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: impl","Param: itemCount"
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"1207023175,033160","65253685,136065","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"921202520,636483","1989436,703651","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"902570097,740546","4452300,569222","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"1238813848,576136","13042576,224097","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"1073575992,541136","30908682,793000","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",8,15,"1006511126,375555","3856806,644878","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"97686,770643","463,375231","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"7985,469164","62,519256","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"775,935646","12,649074","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"76555,263916","1350,419019","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"5517,145554","52,728342","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",8,15,"529,884927","4,140411","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"44285631,962756","3306911,269633","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"41905824,649387","951524,317455","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"44282963,077295","3275309,059366","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"56528314,724510","615268,801277","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"56728465,246714","552111,819019","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",8,15,"57157876,490297","706395,068917","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"164248178,769658","7610474,846895","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"167637686,865440","7399664,461212","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"164535537,453223","2163648,667154","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"182472489,804229","2436019,522123","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"177818676,702350","4317734,958759","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",8,15,"171107327,108848","789348,416680","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"49143045,435415","7563766,410471","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"42253723,372259","4107790,537275","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"40684057,436640","3037346,433495","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"62655853,519907","881473,715654","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"61432194,880952","1438969,984851","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",8,15,"60925996,069163","352968,694421","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.getAvg","avgt",8,15,"6,944668","0,325203","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.getAvg","avgt",8,15,"8,881888","0,061004","ns/op",CONCURRENT,100000
