"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: impl","Param: itemCount"
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"512223762,288399","13923607,907249","ops/s",SIMPLE,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"436889798,739538","3337109,436586","ops/s",SIMPLE,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"395222918,441945","4559464,776140","ops/s",SIMPLE,1000000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"339064030,283007","4731181,255438","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"294923999,840404","12594725,598375","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"263803453,254460","3599912,509204","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"375563946,455345","16344972,656843","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"313619206,500785","4463187,746665","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"290098406,435919","8093251,838162","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"37694,605022","46,057439","ops/s",SIMPLE,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"3009,866146","38,430668","ops/s",SIMPLE,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"317,016252","2,126926","ops/s",SIMPLE,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"32227,272574","4012,841860","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"2823,798243","17,003743","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"316,354572","2,361578","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"23651,504719","53,435226","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"1593,457089","4,104126","ops/s",JDK,100000
