nbits,build_s,recall,qps,size_mb
64,0.01407337503042072,0.076645,4494.818038063392,1.0530519485473633
128,0.015778541972395033,0.185696,4353.987058083662,2.106015205383301
256,0.026851292001083493,0.354534,3954.1826874973854,4.211941719055176
512,0.05221920902840793,0.5074230000000001,3322.9150718883975,8.423794746398926
1024,0.12921779201133177,0.628132,1832.1039903922178,16.847500801086426
2048,0.3602429170277901,0.7280059999999999,1367.5470431755064,33.694912910461426
